index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.02857889888818932,-0.02487263891846612,0.053451537806655444
1,-4,0.07255589743310098,-0.024577399640698782,0.09713329707379977
2,-3,0.04302287873137353,-0.02081821011626115,0.06384108884763467
3,-2,0.06398589168075555,-0.007833506503382546,0.0718193981841381
15,-1,0.0,0.0,0.0
4,0,0.024712741847058673,-0.2830081333289755,0.3077208751760342
5,1,0.04109923788481217,-0.445472343299605,0.4865715811844172
6,2,0.05159106969348997,-0.2818424244136618,0.3334334941071518
7,3,0.0639132664619147,-0.24692038579997164,0.3108336522618863
8,4,0.04598219843147018,-0.24475423461808396,0.29073643304955415
9,5,0.05396737597980615,-0.22130806823326293,0.2752754442130691
10,6,0.060515626875825373,-0.20733286514654528,0.26784849202237065
11,7,0.026825122596677593,-0.22442345928321022,0.2512485818798878
12,8,0.041578217463864496,-0.21199181665048394,0.2535700341143484
13,9,0.09262059600441812,-0.22876311911725994,0.32138371512167807
14,10,0.08310623391856121,-0.22914916278398723,0.3122553967025484
